,total,Taxonomy
Zotu1117,127,Bacteria(100.00000000000001);Bacteroidota(100.00000000000001);Bacteroidia(100.00000000000001);Bacteroidales(100.00000000000001);Prevotellaceae(100.00000000000001);Alloprevotella(100.00000000000001);uncultured bacterium(60.677380952380965)
Zotu1119,259,Bacteria(99.99999999999997);Fusobacteriota(99.99999999999997);Fusobacteriia(99.99999999999997);Fusobacteriales(99.99999999999997);Fusobacteriaceae(99.99999999999997);Fusobacterium(99.99999999999997);uncultured bacterium(49.73244181883279)
Zotu112,13636,Bacteria(100.00000000000001);Firmicutes(100.00000000000001);Bacilli(100.00000000000001);Staphylococcales(100.00000000000001);Staphylococcaceae(100.00000000000001);Staphylococcus(100.00000000000001);Staphylococcus lugdunensis(90.00000000000001)
Zotu1122,191,Bacteria(100.0);Proteobacteria(100.0);Gammaproteobacteria(100.0);Pseudomonadales(100.0);Pseudomonadaceae(100.0);Pseudomonas(100.0);Pseudomonas mendocina(27.501190476190473)
Zotu1125,184,Bacteria(100.0);Proteobacteria(100.0);Gammaproteobacteria(100.0);Pseudomonadales(100.0);Pseudomonadaceae(100.0);Pseudomonas(100.0);Pseudomonas mendocina(27.877380952380882)
Zotu1126,161,Bacteria(100.00000000000001);Proteobacteria(100.00000000000001);Gammaproteobacteria(100.00000000000001);Burkholderiales(100.00000000000001);Neisseriaceae(100.00000000000001);Neisseria(78.98333333333335);uncultured bacterium(100.00000000000001)
Zotu1127,173,Bacteria(100.00000000000001);Bacteroidota(100.00000000000001);Bacteroidia(100.00000000000001);Bacteroidales(100.00000000000001);Prevotellaceae(100.00000000000001);Alloprevotella(100.00000000000001);uncultured Prevotellaceae bacterium(51.16666666666666)
Zotu1128,278,Bacteria(100.0);Campilobacterota(100.0);Campylobacteria(100.0);Campylobacterales(100.0);Campylobacteraceae(100.0);Campylobacter(100.0);Campylobacter hominis ATCC BAA-381(60.0)
Zotu1129,142,Bacteria(100.0);Bacteroidota(100.0);Bacteroidia(100.0);Bacteroidales(100.0);Prevotellaceae(100.0);Prevotella(100.0);uncultured bacterium(81.81666666666666)
Zotu113,9874,Bacteria(100.0);Firmicutes(100.0);Bacilli(100.0);Bacillales(100.0);Bacillaceae(100.0);Aeribacillus(100.0);Aeribacillus pallidus(40.93549457421838)
